Iter 167/610 took 3.06 seconds
Iter 168/610 took 3.07 seconds
Iter 169/610 took 3.04 seconds
Iter 170/610 took 2.99 seconds
Iter 171/610 took 3.02 seconds
Iter 172/610 took 3.05 seconds
Iter 173/610 took 3.09 seconds
Iter 174/610 took 3.16 seconds
Iter 175/610 took 3.19 seconds
Iter 176/610 took 3.15 seconds
Iter 177/610 took 3.29 seconds
Iter 178/610 took 3.18 seconds
Iter 179/610 took 3.17 seconds
Iter 180/610 took 3.19 seconds
Iter 181/610 took 3.01 seconds
Iter 182/610 took 2.99 seconds
Iter 183/610 took 3.03 seconds
Iter 184/610 took 3.03 seconds
Iter 185/610 took 3.18 seconds
Iter 186/610 took 3.16 seconds
Iter 187/610 took 3.13 seconds
Iter 188/610 took 3.19 seconds
Iter 189/610 took 3.15 seconds
Iter 190/610 took 3.27 seconds
Iter 191/610 took 3.16 seconds
Iter 192/610 took 3.31 seconds
Iter 193/610 took 3.22 seconds
Iter 194/610 took 3.24 seconds
Iter 195/610 took 3.15 seconds
Iter 196/610 took 3.15 seconds
Iter 197/610 took 3.12 seconds
Iter 198/610 took 3.15 seconds
Iter 199/610 took 3.15 seconds
Iter 200/610 took 3.21 seconds
Iter 201/610 took 3.20 seconds
Iter 202/610 took 3.27 seconds
Iter 203/610 took 3.14 seconds
Iter 204/610 took 3.10 seconds
Iter 205/610 took 3.18 seconds
Iter 206/610 took 3.13 seconds
Iter 207/610 took 3.12 seconds
Iter 208/610 took 3.17 seconds
Iter 209/610 took 3.20 seconds
Iter 210/610 took 3.15 seconds
Iter 211/610 took 3.13 seconds
Iter 212/610 took 3.07 seconds
Iter 213/610 took 3.06 seconds
Iter 214/610 took 3.31 seconds
Iter 215/610 took 3.23 seconds
Iter 216/610 took 3.21 seconds
Iter 217/610 took 3.28 seconds
Iter 218/610 took 3.24 seconds
Iter 219/610 took 3.22 seconds
Iter 220/610 took 3.17 seconds
Iter 221/610 took 3.25 seconds
Iter 222/610 took 3.23 seconds
Iter 223/610 took 3.26 seconds
Iter 224/610 took 3.26 seconds
Iter 225/610 took 3.32 seconds
Iter 226/610 took 3.39 seconds
Iter 227/610 took 3.32 seconds
Iter 228/610 took 3.28 seconds
Iter 229/610 took 3.30 seconds
Iter 230/610 took 3.08 seconds
Iter 231/610 took 3.07 seconds
Iter 232/610 took 3.16 seconds
Iter 233/610 took 3.19 seconds
Iter 234/610 took 3.28 seconds
Iter 235/610 took 3.39 seconds
Iter 236/610 took 3.43 seconds
Iter 237/610 took 3.25 seconds
Iter 238/610 took 3.21 seconds
Iter 239/610 took 3.15 seconds
Iter 240/610 took 3.14 seconds
Iter 241/610 took 3.06 seconds
Iter 242/610 took 3.07 seconds
Iter 243/610 took 3.17 seconds
Iter 244/610 took 3.19 seconds
Iter 245/610 took 3.17 seconds
Iter 246/610 took 3.14 seconds
Iter 247/610 took 3.22 seconds
Iter 248/610 took 3.32 seconds
Iter 249/610 took 3.21 seconds
Iter 250/610 took 3.44 seconds
Iter 251/610 took 3.33 seconds
Iter 252/610 took 3.34 seconds
Iter 253/610 took 3.32 seconds
Iter 254/610 took 3.35 seconds
Iter 255/610 took 3.23 seconds
Iter 256/610 took 3.21 seconds
Iter 257/610 took 3.18 seconds
Iter 258/610 took 3.10 seconds
Iter 259/610 took 3.16 seconds
Iter 260/610 took 3.14 seconds
Iter 261/610 took 3.13 seconds
Iter 262/610 took 3.12 seconds
Iter 263/610 took 3.24 seconds
Iter 264/610 took 3.44 seconds
Iter 265/610 took 3.35 seconds
Iter 266/610 took 2.95 seconds
Iter 267/610 took 3.21 seconds
Iter 268/610 took 3.16 seconds
Iter 269/610 took 3.22 seconds
Iter 270/610 took 3.18 seconds
Iter 271/610 took 3.14 seconds
Iter 272/610 took 3.06 seconds
Iter 273/610 took 3.06 seconds
Iter 274/610 took 3.03 seconds
Iter 275/610 took 3.07 seconds
Iter 276/610 took 3.04 seconds
Iter 277/610 took 3.04 seconds
Iter 278/610 took 3.02 seconds
Iter 279/610 took 2.99 seconds
Iter 280/610 took 3.01 seconds
Iter 281/610 took 3.02 seconds
Iter 282/610 took 3.07 seconds
Iter 283/610 took 3.08 seconds
Iter 284/610 took 3.04 seconds
Iter 285/610 took 3.07 seconds
Iter 286/610 took 3.07 seconds
Iter 287/610 took 3.02 seconds
Iter 288/610 took 2.99 seconds
Iter 289/610 took 2.98 seconds
Iter 290/610 took 3.00 seconds
Iter 291/610 took 3.06 seconds
Iter 292/610 took 3.08 seconds
Iter 293/610 took 3.05 seconds
Iter 294/610 took 3.00 seconds
Iter 295/610 took 3.04 seconds
Iter 296/610 took 3.06 seconds
Iter 297/610 took 3.01 seconds
Iter 298/610 took 3.12 seconds
Iter 299/610 took 3.07 seconds
Iter 300/610 took 3.04 seconds
Iter 301/610 took 3.13 seconds
Iter 302/610 took 3.20 seconds
Iter 303/610 took 3.12 seconds
Iter 304/610 took 3.09 seconds
Iter 305/610 took 3.08 seconds
Iter 306/610 took 3.13 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m/level3_loop_081_structural_v24_v22_hybrid_aperture_corridor_obs_from_loop078_final_20m_step_010000000.ckpt at global_step=10027008
Iter 307/610 took 3.16 seconds
Iter 308/610 took 3.19 seconds
Iter 309/610 took 3.17 seconds
Iter 310/610 took 3.19 seconds
Iter 311/610 took 3.15 seconds
Iter 312/610 took 3.16 seconds
Iter 313/610 took 3.14 seconds
Iter 314/610 took 3.15 seconds
Iter 315/610 took 3.16 seconds
Iter 316/610 took 3.26 seconds
Iter 317/610 took 3.20 seconds
Iter 318/610 took 3.17 seconds
Iter 319/610 took 3.11 seconds
Iter 320/610 took 3.11 seconds
Iter 321/610 took 3.12 seconds
Iter 322/610 took 3.11 seconds
Iter 323/610 took 3.13 seconds
Iter 324/610 took 3.10 seconds
Iter 325/610 took 3.05 seconds
Iter 326/610 took 3.07 seconds
Iter 327/610 took 3.11 seconds
Iter 328/610 took 3.11 seconds
Iter 329/610 took 3.10 seconds
Iter 330/610 took 3.08 seconds
Iter 331/610 took 3.15 seconds
Iter 332/610 took 3.09 seconds
Iter 333/610 took 3.12 seconds
Iter 334/610 took 3.09 seconds
Iter 335/610 took 3.03 seconds
Iter 336/610 took 3.14 seconds
Iter 337/610 took 3.15 seconds
Iter 338/610 took 3.00 seconds
