Iter 178/915 took 2.72 seconds
Iter 179/915 took 2.67 seconds
Iter 180/915 took 2.70 seconds
Iter 181/915 took 2.68 seconds
Iter 182/915 took 2.64 seconds
Iter 183/915 took 2.64 seconds
Iter 184/915 took 2.65 seconds
Iter 185/915 took 2.65 seconds
Iter 186/915 took 2.63 seconds
Iter 187/915 took 2.64 seconds
Iter 188/915 took 2.62 seconds
Iter 189/915 took 2.61 seconds
Iter 190/915 took 2.63 seconds
Iter 191/915 took 2.66 seconds
Iter 192/915 took 2.63 seconds
Iter 193/915 took 2.65 seconds
Iter 194/915 took 2.64 seconds
Iter 195/915 took 2.60 seconds
Iter 196/915 took 2.61 seconds
Iter 197/915 took 2.66 seconds
Iter 198/915 took 2.71 seconds
Iter 199/915 took 2.65 seconds
Iter 200/915 took 2.69 seconds
Iter 201/915 took 2.64 seconds
Iter 202/915 took 2.67 seconds
Iter 203/915 took 2.73 seconds
Iter 204/915 took 2.69 seconds
Iter 205/915 took 2.67 seconds
Iter 206/915 took 2.71 seconds
Iter 207/915 took 2.69 seconds
Iter 208/915 took 2.73 seconds
Iter 209/915 took 2.68 seconds
Iter 210/915 took 2.65 seconds
Iter 211/915 took 2.68 seconds
Iter 212/915 took 2.64 seconds
Iter 213/915 took 2.58 seconds
Iter 214/915 took 2.63 seconds
Iter 215/915 took 2.60 seconds
Iter 216/915 took 2.62 seconds
Iter 217/915 took 2.63 seconds
Iter 218/915 took 2.63 seconds
Iter 219/915 took 2.59 seconds
Iter 220/915 took 2.59 seconds
Iter 221/915 took 2.65 seconds
Iter 222/915 took 2.59 seconds
Iter 223/915 took 2.71 seconds
Iter 224/915 took 2.66 seconds
Iter 225/915 took 2.67 seconds
Iter 226/915 took 2.81 seconds
Iter 227/915 took 2.79 seconds
Iter 228/915 took 2.82 seconds
Iter 229/915 took 2.76 seconds
Iter 230/915 took 2.73 seconds
Iter 231/915 took 2.64 seconds
Iter 232/915 took 2.74 seconds
Iter 233/915 took 2.76 seconds
Iter 234/915 took 2.78 seconds
Iter 235/915 took 2.72 seconds
Iter 236/915 took 2.66 seconds
Iter 237/915 took 2.62 seconds
Iter 238/915 took 2.62 seconds
Iter 239/915 took 2.63 seconds
Iter 240/915 took 2.63 seconds
Iter 241/915 took 2.69 seconds
Iter 242/915 took 2.74 seconds
Iter 243/915 took 2.76 seconds
Iter 244/915 took 2.73 seconds
Iter 245/915 took 2.68 seconds
Iter 246/915 took 2.66 seconds
Iter 247/915 took 2.76 seconds
Iter 248/915 took 2.68 seconds
Iter 249/915 took 2.77 seconds
Iter 250/915 took 2.75 seconds
