Iter 196/2441 took 2.34 seconds
Iter 197/2441 took 2.42 seconds
Iter 198/2441 took 2.35 seconds
Iter 199/2441 took 2.39 seconds
Iter 200/2441 took 2.42 seconds
Iter 201/2441 took 2.38 seconds
Iter 202/2441 took 2.36 seconds
Iter 203/2441 took 2.32 seconds
Iter 204/2441 took 2.29 seconds
Iter 205/2441 took 2.31 seconds
Iter 206/2441 took 2.35 seconds
Iter 207/2441 took 2.36 seconds
Iter 208/2441 took 2.34 seconds
Iter 209/2441 took 2.40 seconds
Iter 210/2441 took 2.43 seconds
Iter 211/2441 took 2.37 seconds
Iter 212/2441 took 2.34 seconds
Iter 213/2441 took 2.36 seconds
Iter 214/2441 took 2.43 seconds
Iter 215/2441 took 2.36 seconds
Iter 216/2441 took 2.40 seconds
Iter 217/2441 took 2.36 seconds
Iter 218/2441 took 2.37 seconds
Iter 219/2441 took 2.33 seconds
Iter 220/2441 took 2.39 seconds
Iter 221/2441 took 2.40 seconds
Iter 222/2441 took 2.44 seconds
Iter 223/2441 took 2.28 seconds
Iter 224/2441 took 2.39 seconds
Iter 225/2441 took 2.42 seconds
Iter 226/2441 took 2.45 seconds
Iter 227/2441 took 2.39 seconds
Iter 228/2441 took 2.32 seconds
Iter 229/2441 took 2.32 seconds
Iter 230/2441 took 2.33 seconds
Iter 231/2441 took 2.35 seconds
Iter 232/2441 took 2.37 seconds
Iter 233/2441 took 2.37 seconds
Iter 234/2441 took 2.40 seconds
Iter 235/2441 took 2.37 seconds
Iter 236/2441 took 2.30 seconds
Iter 237/2441 took 2.37 seconds
Iter 238/2441 took 2.37 seconds
Iter 239/2441 took 2.41 seconds
Iter 240/2441 took 2.47 seconds
Iter 241/2441 took 2.47 seconds
Iter 242/2441 took 2.42 seconds
Iter 243/2441 took 2.33 seconds
Iter 244/2441 took 2.37 seconds
Iter 245/2441 took 2.39 seconds
Iter 246/2441 took 2.38 seconds
Iter 247/2441 took 2.39 seconds
Iter 248/2441 took 2.39 seconds
Iter 249/2441 took 2.36 seconds
Iter 250/2441 took 2.36 seconds
Iter 251/2441 took 2.37 seconds
Iter 252/2441 took 2.44 seconds
Iter 253/2441 took 2.39 seconds
Iter 254/2441 took 2.38 seconds
Iter 255/2441 took 2.36 seconds
Iter 256/2441 took 2.38 seconds
Iter 257/2441 took 2.43 seconds
Iter 258/2441 took 2.44 seconds
Iter 259/2441 took 2.39 seconds
Iter 260/2441 took 2.34 seconds
Iter 261/2441 took 2.34 seconds
Iter 262/2441 took 2.37 seconds
Iter 263/2441 took 2.35 seconds
Iter 264/2441 took 2.46 seconds
Iter 265/2441 took 2.39 seconds
Iter 266/2441 took 2.40 seconds
Iter 267/2441 took 2.46 seconds
Iter 268/2441 took 2.31 seconds
Iter 269/2441 took 2.34 seconds
Iter 270/2441 took 2.35 seconds
Iter 271/2441 took 2.36 seconds
Iter 272/2441 took 2.33 seconds
Iter 273/2441 took 2.34 seconds
Iter 274/2441 took 2.37 seconds
