Iter 154/1525 took 2.81 seconds
Iter 155/1525 took 2.88 seconds
Iter 156/1525 took 2.98 seconds
Iter 157/1525 took 3.00 seconds
Iter 158/1525 took 2.80 seconds
Iter 159/1525 took 2.75 seconds
Iter 160/1525 took 2.73 seconds
Iter 161/1525 took 2.80 seconds
Iter 162/1525 took 2.85 seconds
Iter 163/1525 took 2.81 seconds
Iter 164/1525 took 2.76 seconds
Iter 165/1525 took 2.70 seconds
Iter 166/1525 took 2.73 seconds
Iter 167/1525 took 2.75 seconds
Iter 168/1525 took 2.85 seconds
Iter 169/1525 took 2.79 seconds
Iter 170/1525 took 2.84 seconds
Iter 171/1525 took 2.83 seconds
Iter 172/1525 took 2.80 seconds
Iter 173/1525 took 2.83 seconds
Iter 174/1525 took 2.84 seconds
Iter 175/1525 took 2.82 seconds
Iter 176/1525 took 2.78 seconds
Iter 177/1525 took 2.87 seconds
Iter 178/1525 took 2.91 seconds
Iter 179/1525 took 2.73 seconds
Iter 180/1525 took 2.73 seconds
Iter 181/1525 took 2.71 seconds
Iter 182/1525 took 2.76 seconds
Iter 183/1525 took 2.78 seconds
Iter 184/1525 took 2.75 seconds
Iter 185/1525 took 2.73 seconds
Iter 186/1525 took 2.72 seconds
Iter 187/1525 took 2.74 seconds
Iter 188/1525 took 2.79 seconds
Iter 189/1525 took 2.77 seconds
Iter 190/1525 took 2.82 seconds
Iter 191/1525 took 2.85 seconds
Iter 192/1525 took 2.83 seconds
Iter 193/1525 took 2.83 seconds
Iter 194/1525 took 2.81 seconds
Iter 195/1525 took 2.76 seconds
Iter 196/1525 took 2.87 seconds
Iter 197/1525 took 2.79 seconds
Iter 198/1525 took 2.73 seconds
Iter 199/1525 took 2.74 seconds
Iter 200/1525 took 2.74 seconds
Iter 201/1525 took 2.79 seconds
Iter 202/1525 took 2.78 seconds
Iter 203/1525 took 2.78 seconds
Iter 204/1525 took 2.84 seconds
Iter 205/1525 took 2.94 seconds
Iter 206/1525 took 2.89 seconds
Iter 207/1525 took 2.84 seconds
Iter 208/1525 took 2.85 seconds
Iter 209/1525 took 2.80 seconds
Iter 210/1525 took 2.83 seconds
Iter 211/1525 took 2.80 seconds
