checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_016_loop010_step_curve_maturation_100m/level3_loop_016_loop010_step_curve_maturation_100m_step_010000000.ckpt at global_step=10027008
Iter 307/3051 took 1.86 seconds
Iter 308/3051 took 1.88 seconds
Iter 309/3051 took 1.82 seconds
Iter 310/3051 took 1.85 seconds
Iter 311/3051 took 1.97 seconds
Iter 312/3051 took 2.00 seconds
Iter 313/3051 took 1.85 seconds
Iter 314/3051 took 1.84 seconds
Iter 315/3051 took 1.80 seconds
Iter 316/3051 took 1.85 seconds
Iter 317/3051 took 1.81 seconds
Iter 318/3051 took 1.85 seconds
Iter 319/3051 took 1.90 seconds
Iter 320/3051 took 1.95 seconds
Iter 321/3051 took 1.85 seconds
Iter 322/3051 took 1.90 seconds
Iter 323/3051 took 1.87 seconds
Iter 324/3051 took 1.85 seconds
Iter 325/3051 took 1.88 seconds
Iter 326/3051 took 1.89 seconds
Iter 327/3051 took 1.98 seconds
Iter 328/3051 took 1.95 seconds
Iter 329/3051 took 1.88 seconds
Iter 330/3051 took 1.88 seconds
Iter 331/3051 took 1.89 seconds
Iter 332/3051 took 1.96 seconds
Iter 333/3051 took 1.95 seconds
Iter 334/3051 took 1.87 seconds
Iter 335/3051 took 1.87 seconds
Iter 336/3051 took 1.84 seconds
Iter 337/3051 took 1.89 seconds
Iter 338/3051 took 1.81 seconds
Iter 339/3051 took 1.79 seconds
Iter 340/3051 took 1.90 seconds
Iter 341/3051 took 1.86 seconds
Iter 342/3051 took 1.86 seconds
Iter 343/3051 took 1.86 seconds
Iter 344/3051 took 1.82 seconds
Iter 345/3051 took 1.87 seconds
Iter 346/3051 took 1.88 seconds
Iter 347/3051 took 1.87 seconds
Iter 348/3051 took 2.02 seconds
Iter 349/3051 took 2.04 seconds
Iter 350/3051 took 1.90 seconds
Iter 351/3051 took 1.85 seconds
Iter 352/3051 took 1.95 seconds
Iter 353/3051 took 1.92 seconds
Iter 354/3051 took 1.84 seconds
Iter 355/3051 took 1.86 seconds
Iter 356/3051 took 1.86 seconds
Iter 357/3051 took 1.78 seconds
Iter 358/3051 took 1.87 seconds
Iter 359/3051 took 1.84 seconds
Iter 360/3051 took 1.85 seconds
Iter 361/3051 took 1.94 seconds
Iter 362/3051 took 1.82 seconds
Iter 363/3051 took 1.84 seconds
Iter 364/3051 took 1.87 seconds
Iter 365/3051 took 1.84 seconds
Iter 366/3051 took 1.85 seconds
Iter 367/3051 took 1.91 seconds
Iter 368/3051 took 1.84 seconds
Iter 369/3051 took 1.88 seconds
Iter 370/3051 took 1.85 seconds
Iter 371/3051 took 1.87 seconds
Iter 372/3051 took 1.92 seconds
Iter 373/3051 took 1.84 seconds
Iter 374/3051 took 1.89 seconds
Iter 375/3051 took 1.86 seconds
Iter 376/3051 took 1.91 seconds
Iter 377/3051 took 1.85 seconds
Iter 378/3051 took 1.87 seconds
Iter 379/3051 took 1.88 seconds
Iter 380/3051 took 1.85 seconds
Iter 381/3051 took 1.84 seconds
Iter 382/3051 took 1.86 seconds
Iter 383/3051 took 1.92 seconds
Iter 384/3051 took 1.93 seconds
Iter 385/3051 took 1.95 seconds
Iter 386/3051 took 1.89 seconds
Iter 387/3051 took 1.84 seconds
Iter 388/3051 took 1.90 seconds
Iter 389/3051 took 1.96 seconds
Iter 390/3051 took 1.89 seconds
Iter 391/3051 took 1.83 seconds
Iter 392/3051 took 1.92 seconds
Iter 393/3051 took 1.94 seconds
Iter 394/3051 took 1.91 seconds
Iter 395/3051 took 1.93 seconds
Iter 396/3051 took 1.90 seconds
Iter 397/3051 took 1.89 seconds
Iter 398/3051 took 1.84 seconds
Iter 399/3051 took 1.95 seconds
Iter 400/3051 took 1.92 seconds
Iter 401/3051 took 1.87 seconds
Iter 402/3051 took 1.85 seconds
Iter 403/3051 took 1.83 seconds
Iter 404/3051 took 1.89 seconds
Iter 405/3051 took 1.90 seconds
Iter 406/3051 took 1.89 seconds
Iter 407/3051 took 1.86 seconds
Iter 408/3051 took 1.87 seconds
Iter 409/3051 took 1.84 seconds
Iter 410/3051 took 1.87 seconds
Iter 411/3051 took 1.87 seconds
Iter 412/3051 took 1.85 seconds
Iter 413/3051 took 1.92 seconds
Iter 414/3051 took 1.94 seconds
Iter 415/3051 took 1.86 seconds
Iter 416/3051 took 1.87 seconds
Iter 417/3051 took 1.88 seconds
Iter 418/3051 took 1.84 seconds
Iter 419/3051 took 1.89 seconds
Iter 420/3051 took 1.90 seconds
Iter 421/3051 took 1.87 seconds
Iter 422/3051 took 1.84 seconds
Iter 423/3051 took 1.97 seconds
Iter 424/3051 took 1.88 seconds
Iter 425/3051 took 1.92 seconds
Iter 426/3051 took 1.80 seconds
Iter 427/3051 took 1.83 seconds
Iter 428/3051 took 1.89 seconds
Iter 429/3051 took 1.88 seconds
Iter 430/3051 took 1.83 seconds
Iter 431/3051 took 1.91 seconds
Iter 432/3051 took 1.88 seconds
Iter 433/3051 took 1.86 seconds
Iter 434/3051 took 1.84 seconds
Iter 435/3051 took 1.88 seconds
Iter 436/3051 took 2.00 seconds
Iter 437/3051 took 1.88 seconds
Iter 438/3051 took 1.89 seconds
Iter 439/3051 took 1.92 seconds
Iter 440/3051 took 1.86 seconds
Iter 441/3051 took 1.89 seconds
Iter 442/3051 took 1.85 seconds
Iter 443/3051 took 1.85 seconds
Iter 444/3051 took 1.86 seconds
Iter 445/3051 took 1.84 seconds
Iter 446/3051 took 1.84 seconds
Iter 447/3051 took 1.83 seconds
Iter 448/3051 took 1.86 seconds
Iter 449/3051 took 1.87 seconds
Iter 450/3051 took 1.88 seconds
Iter 451/3051 took 1.83 seconds
Iter 452/3051 took 1.87 seconds
Iter 453/3051 took 1.93 seconds
Iter 454/3051 took 1.89 seconds
Iter 455/3051 took 1.83 seconds
Iter 456/3051 took 1.88 seconds
Iter 457/3051 took 1.84 seconds
Iter 458/3051 took 1.97 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_016_loop010_step_curve_maturation_100m/level3_loop_016_loop010_step_curve_maturation_100m_step_015000000.ckpt at global_step=15007744
Iter 459/3051 took 1.84 seconds
Iter 460/3051 took 1.83 seconds
Iter 461/3051 took 1.97 seconds
Iter 462/3051 took 1.92 seconds
Iter 463/3051 took 1.88 seconds
Iter 464/3051 took 1.85 seconds
Iter 465/3051 took 1.87 seconds
Iter 466/3051 took 1.89 seconds
Iter 467/3051 took 1.91 seconds
Iter 468/3051 took 1.91 seconds
Iter 469/3051 took 1.91 seconds
Iter 470/3051 took 1.79 seconds
Iter 471/3051 took 1.86 seconds
Iter 472/3051 took 1.81 seconds
Iter 473/3051 took 1.82 seconds
Iter 474/3051 took 1.92 seconds
Iter 475/3051 took 1.91 seconds
Iter 476/3051 took 1.91 seconds
Iter 477/3051 took 1.90 seconds
Iter 478/3051 took 1.87 seconds
Iter 479/3051 took 1.91 seconds
Iter 480/3051 took 1.92 seconds
Iter 481/3051 took 1.84 seconds
Iter 482/3051 took 1.93 seconds
Iter 483/3051 took 1.92 seconds
Iter 484/3051 took 1.91 seconds
Iter 485/3051 took 1.88 seconds
Iter 486/3051 took 1.87 seconds
Iter 487/3051 took 1.86 seconds
Iter 488/3051 took 1.79 seconds
Iter 489/3051 took 1.84 seconds
Iter 490/3051 took 2.03 seconds
Iter 491/3051 took 1.81 seconds
Iter 492/3051 took 1.85 seconds
Iter 493/3051 took 1.79 seconds
Iter 494/3051 took 1.83 seconds
Iter 495/3051 took 1.87 seconds
Iter 496/3051 took 1.85 seconds
Iter 497/3051 took 1.87 seconds
Iter 498/3051 took 1.95 seconds
Iter 499/3051 took 1.93 seconds
Iter 500/3051 took 1.90 seconds
Iter 501/3051 took 1.86 seconds
Iter 502/3051 took 1.89 seconds
Iter 503/3051 took 1.91 seconds
Iter 504/3051 took 1.83 seconds
Iter 505/3051 took 1.91 seconds
Iter 506/3051 took 1.89 seconds
Iter 507/3051 took 1.87 seconds
Iter 508/3051 took 1.87 seconds
Iter 509/3051 took 1.84 seconds
Iter 510/3051 took 1.82 seconds
Iter 511/3051 took 1.99 seconds
Iter 512/3051 took 1.95 seconds
Iter 513/3051 took 1.94 seconds
Iter 514/3051 took 1.98 seconds
Iter 515/3051 took 1.84 seconds
Iter 516/3051 took 1.87 seconds
Iter 517/3051 took 1.90 seconds
Iter 518/3051 took 1.85 seconds
Iter 519/3051 took 1.85 seconds
Iter 520/3051 took 1.87 seconds
Iter 521/3051 took 1.87 seconds
Iter 522/3051 took 1.94 seconds
Iter 523/3051 took 1.93 seconds
Iter 524/3051 took 1.96 seconds
Iter 525/3051 took 1.87 seconds
Iter 526/3051 took 1.89 seconds
Iter 527/3051 took 1.87 seconds
