Iter 140/610 took 2.77 seconds
Iter 141/610 took 2.77 seconds
Iter 142/610 took 2.68 seconds
Iter 143/610 took 2.69 seconds
Iter 144/610 took 2.77 seconds
Iter 145/610 took 2.76 seconds
Iter 146/610 took 2.68 seconds
Iter 147/610 took 2.72 seconds
Iter 148/610 took 2.70 seconds
Iter 149/610 took 2.70 seconds
Iter 150/610 took 2.73 seconds
Iter 151/610 took 2.75 seconds
Iter 152/610 took 2.75 seconds
Iter 153/610 took 2.75 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m/level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m_step_005000000.ckpt at global_step=5013504
Iter 154/610 took 2.71 seconds
Iter 155/610 took 2.68 seconds
Iter 156/610 took 2.68 seconds
Iter 157/610 took 2.80 seconds
Iter 158/610 took 2.77 seconds
Iter 159/610 took 2.78 seconds
Iter 160/610 took 2.84 seconds
Iter 161/610 took 2.74 seconds
Iter 162/610 took 2.95 seconds
Iter 163/610 took 2.95 seconds
Iter 164/610 took 2.89 seconds
Iter 165/610 took 2.84 seconds
Iter 166/610 took 2.85 seconds
Iter 167/610 took 2.74 seconds
Iter 168/610 took 2.76 seconds
Iter 169/610 took 2.71 seconds
Iter 170/610 took 2.73 seconds
Iter 171/610 took 2.69 seconds
Iter 172/610 took 2.67 seconds
Iter 173/610 took 2.69 seconds
Iter 174/610 took 2.73 seconds
Iter 175/610 took 2.75 seconds
Iter 176/610 took 2.83 seconds
Iter 177/610 took 2.75 seconds
Iter 178/610 took 2.82 seconds
Iter 179/610 took 2.86 seconds
Iter 180/610 took 2.79 seconds
Iter 181/610 took 2.76 seconds
Iter 182/610 took 2.74 seconds
Iter 183/610 took 2.72 seconds
Iter 184/610 took 2.76 seconds
Iter 185/610 took 2.69 seconds
Iter 186/610 took 2.73 seconds
Iter 187/610 took 2.77 seconds
Iter 188/610 took 2.77 seconds
Iter 189/610 took 2.73 seconds
Iter 190/610 took 2.81 seconds
Iter 191/610 took 2.82 seconds
Iter 192/610 took 2.83 seconds
Iter 193/610 took 2.81 seconds
Iter 194/610 took 2.82 seconds
Iter 195/610 took 2.78 seconds
