Iter 230/2746 took 2.88 seconds
Iter 231/2746 took 2.78 seconds
Iter 232/2746 took 2.70 seconds
Iter 233/2746 took 2.69 seconds
Iter 234/2746 took 2.75 seconds
Iter 235/2746 took 2.67 seconds
Iter 236/2746 took 2.63 seconds
Iter 237/2746 took 2.69 seconds
Iter 238/2746 took 2.77 seconds
Iter 239/2746 took 2.82 seconds
Iter 240/2746 took 2.85 seconds
Iter 241/2746 took 2.76 seconds
Iter 242/2746 took 2.69 seconds
Iter 243/2746 took 2.66 seconds
Iter 244/2746 took 2.69 seconds
Iter 245/2746 took 2.77 seconds
Iter 246/2746 took 2.70 seconds
Iter 247/2746 took 2.73 seconds
Iter 248/2746 took 2.72 seconds
Iter 249/2746 took 2.73 seconds
Iter 250/2746 took 2.70 seconds
Iter 251/2746 took 2.68 seconds
Iter 252/2746 took 2.73 seconds
Iter 253/2746 took 2.66 seconds
Iter 254/2746 took 2.63 seconds
Iter 255/2746 took 2.69 seconds
Iter 256/2746 took 2.70 seconds
Iter 257/2746 took 2.78 seconds
Iter 258/2746 took 2.70 seconds
Iter 259/2746 took 2.66 seconds
Iter 260/2746 took 2.75 seconds
Iter 261/2746 took 2.71 seconds
Iter 262/2746 took 2.64 seconds
Iter 263/2746 took 2.69 seconds
Iter 264/2746 took 2.72 seconds
Iter 265/2746 took 2.74 seconds
Iter 266/2746 took 2.71 seconds
Iter 267/2746 took 2.65 seconds
Iter 268/2746 took 2.70 seconds
Iter 269/2746 took 2.63 seconds
Iter 270/2746 took 2.62 seconds
Iter 271/2746 took 2.68 seconds
Iter 272/2746 took 2.66 seconds
Iter 273/2746 took 2.61 seconds
Iter 274/2746 took 2.67 seconds
Iter 275/2746 took 2.58 seconds
Iter 276/2746 took 2.59 seconds
Iter 277/2746 took 2.62 seconds
Iter 278/2746 took 2.64 seconds
Iter 279/2746 took 2.65 seconds
Iter 280/2746 took 2.63 seconds
Iter 281/2746 took 2.65 seconds
Iter 282/2746 took 2.69 seconds
Iter 283/2746 took 2.80 seconds
Iter 284/2746 took 2.74 seconds
Iter 285/2746 took 2.74 seconds
Iter 286/2746 took 2.72 seconds
Iter 287/2746 took 2.68 seconds
Iter 288/2746 took 2.71 seconds
Iter 289/2746 took 2.73 seconds
Iter 290/2746 took 2.81 seconds
Iter 291/2746 took 2.85 seconds
Iter 292/2746 took 2.75 seconds
Iter 293/2746 took 2.73 seconds
Iter 294/2746 took 2.69 seconds
Iter 295/2746 took 2.70 seconds
Iter 296/2746 took 2.78 seconds
Iter 297/2746 took 2.63 seconds
Iter 298/2746 took 2.65 seconds
Iter 299/2746 took 2.68 seconds
Iter 300/2746 took 2.68 seconds
Iter 301/2746 took 2.69 seconds
Iter 302/2746 took 2.72 seconds
Iter 303/2746 took 2.67 seconds
Iter 304/2746 took 2.83 seconds
Iter 305/2746 took 2.90 seconds
Iter 306/2746 took 2.85 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_018_v5_gate_acquisition_repair_mature_90m/level3_loop_018_v5_gate_acquisition_repair_mature_90m_step_010000000.ckpt at global_step=10027008
Iter 307/2746 took 2.68 seconds
Iter 308/2746 took 2.61 seconds
Iter 309/2746 took 2.66 seconds
Iter 310/2746 took 2.68 seconds
Iter 311/2746 took 2.70 seconds
Iter 312/2746 took 2.70 seconds
Iter 313/2746 took 2.68 seconds
Iter 314/2746 took 2.70 seconds
Iter 315/2746 took 2.73 seconds
Iter 316/2746 took 2.71 seconds
Iter 317/2746 took 2.76 seconds
Iter 318/2746 took 2.66 seconds
Iter 319/2746 took 2.67 seconds
Iter 320/2746 took 2.66 seconds
Iter 321/2746 took 2.69 seconds
Iter 322/2746 took 2.71 seconds
Iter 323/2746 took 2.71 seconds
Iter 324/2746 took 2.75 seconds
Iter 325/2746 took 2.81 seconds
Iter 326/2746 took 2.78 seconds
Iter 327/2746 took 2.75 seconds
Iter 328/2746 took 2.86 seconds
Iter 329/2746 took 2.86 seconds
Iter 330/2746 took 2.81 seconds
Iter 331/2746 took 2.71 seconds
Iter 332/2746 took 2.80 seconds
Iter 333/2746 took 2.84 seconds
Iter 334/2746 took 2.87 seconds
Iter 335/2746 took 2.85 seconds
Iter 336/2746 took 2.88 seconds
Iter 337/2746 took 2.78 seconds
Iter 338/2746 took 2.66 seconds
Iter 339/2746 took 2.68 seconds
Iter 340/2746 took 2.68 seconds
Iter 341/2746 took 2.63 seconds
Iter 342/2746 took 2.67 seconds
Iter 343/2746 took 2.66 seconds
Iter 344/2746 took 2.70 seconds
Iter 345/2746 took 2.63 seconds
Iter 346/2746 took 2.61 seconds
Iter 347/2746 took 2.66 seconds
Iter 348/2746 took 2.59 seconds
Iter 349/2746 took 2.59 seconds
Iter 350/2746 took 2.62 seconds
Iter 351/2746 took 2.64 seconds
Iter 352/2746 took 2.67 seconds
Iter 353/2746 took 2.65 seconds
Iter 354/2746 took 2.68 seconds
Iter 355/2746 took 2.75 seconds
Iter 356/2746 took 2.81 seconds
Iter 357/2746 took 2.79 seconds
Iter 358/2746 took 2.77 seconds
Iter 359/2746 took 2.75 seconds
Iter 360/2746 took 3.08 seconds
Iter 361/2746 took 2.97 seconds
Iter 362/2746 took 2.84 seconds
Iter 363/2746 took 2.90 seconds
Iter 364/2746 took 2.92 seconds
Iter 365/2746 took 2.81 seconds
Iter 366/2746 took 2.74 seconds
Iter 367/2746 took 2.79 seconds
Iter 368/2746 took 2.64 seconds
Iter 369/2746 took 2.65 seconds
Iter 370/2746 took 2.68 seconds
Iter 371/2746 took 2.70 seconds
Iter 372/2746 took 2.66 seconds
Iter 373/2746 took 2.65 seconds
Iter 374/2746 took 2.69 seconds
Iter 375/2746 took 2.78 seconds
Iter 376/2746 took 2.72 seconds
Iter 377/2746 took 2.68 seconds
Iter 378/2746 took 2.70 seconds
Iter 379/2746 took 2.70 seconds
Iter 380/2746 took 2.73 seconds
Iter 381/2746 took 2.68 seconds
Iter 382/2746 took 2.76 seconds
Iter 383/2746 took 2.71 seconds
Iter 384/2746 took 2.58 seconds
Iter 385/2746 took 2.67 seconds
Iter 386/2746 took 2.68 seconds
Iter 387/2746 took 2.59 seconds
Iter 388/2746 took 2.67 seconds
Iter 389/2746 took 2.70 seconds
Iter 390/2746 took 2.69 seconds
Iter 391/2746 took 2.66 seconds
Iter 392/2746 took 2.62 seconds
Iter 393/2746 took 2.64 seconds
Iter 394/2746 took 2.68 seconds
Iter 395/2746 took 2.71 seconds
Iter 396/2746 took 2.70 seconds
Iter 397/2746 took 2.63 seconds
Iter 398/2746 took 2.62 seconds
Iter 399/2746 took 2.73 seconds
Iter 400/2746 took 2.68 seconds
Iter 401/2746 took 2.71 seconds
Iter 402/2746 took 2.65 seconds
Iter 403/2746 took 2.65 seconds
Iter 404/2746 took 2.62 seconds
Iter 405/2746 took 2.65 seconds
Iter 406/2746 took 2.63 seconds
Iter 407/2746 took 2.61 seconds
Iter 408/2746 took 2.62 seconds
Iter 409/2746 took 2.67 seconds
Iter 410/2746 took 2.66 seconds
Iter 411/2746 took 2.67 seconds
Iter 412/2746 took 2.67 seconds
Iter 413/2746 took 2.78 seconds
Iter 414/2746 took 2.72 seconds
Iter 415/2746 took 2.65 seconds
Iter 416/2746 took 2.68 seconds
Iter 417/2746 took 2.67 seconds
Iter 418/2746 took 2.62 seconds
Iter 419/2746 took 2.65 seconds
Iter 420/2746 took 2.66 seconds
Iter 421/2746 took 2.64 seconds
Iter 422/2746 took 2.67 seconds
Iter 423/2746 took 2.64 seconds
Iter 424/2746 took 2.68 seconds
Iter 425/2746 took 2.81 seconds
Iter 426/2746 took 2.75 seconds
Iter 427/2746 took 2.77 seconds
Iter 428/2746 took 2.76 seconds
Iter 429/2746 took 2.67 seconds
Iter 430/2746 took 2.75 seconds
Iter 431/2746 took 2.76 seconds
Iter 432/2746 took 2.70 seconds
Iter 433/2746 took 2.72 seconds
Iter 434/2746 took 2.65 seconds
Iter 435/2746 took 2.65 seconds
Iter 436/2746 took 2.65 seconds
Iter 437/2746 took 2.64 seconds
Iter 438/2746 took 2.64 seconds
Iter 439/2746 took 2.65 seconds
Iter 440/2746 took 2.68 seconds
Iter 441/2746 took 2.66 seconds
Iter 442/2746 took 2.70 seconds
Iter 443/2746 took 2.69 seconds
Iter 444/2746 took 2.70 seconds
Iter 445/2746 took 2.64 seconds
Iter 446/2746 took 2.56 seconds
Iter 447/2746 took 2.65 seconds
Iter 448/2746 took 2.70 seconds
Iter 449/2746 took 2.69 seconds
Iter 450/2746 took 2.69 seconds
Iter 451/2746 took 2.67 seconds
Iter 452/2746 took 2.69 seconds
Iter 453/2746 took 2.67 seconds
Iter 454/2746 took 2.64 seconds
Iter 455/2746 took 2.66 seconds
Iter 456/2746 took 2.68 seconds
Iter 457/2746 took 2.71 seconds
Iter 458/2746 took 2.68 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_018_v5_gate_acquisition_repair_mature_90m/level3_loop_018_v5_gate_acquisition_repair_mature_90m_step_015000000.ckpt at global_step=15007744
Iter 459/2746 took 2.69 seconds
Iter 460/2746 took 2.71 seconds
Iter 461/2746 took 2.64 seconds
Iter 462/2746 took 2.63 seconds
Iter 463/2746 took 2.68 seconds
Iter 464/2746 took 2.63 seconds
Iter 465/2746 took 2.65 seconds
Iter 466/2746 took 2.67 seconds
Iter 467/2746 took 2.73 seconds
Iter 468/2746 took 2.76 seconds
Iter 469/2746 took 2.70 seconds
Iter 470/2746 took 2.73 seconds
Iter 471/2746 took 2.81 seconds
Iter 472/2746 took 2.86 seconds
Iter 473/2746 took 2.77 seconds
Iter 474/2746 took 2.89 seconds
Iter 475/2746 took 2.79 seconds
Iter 476/2746 took 2.76 seconds
Iter 477/2746 took 2.72 seconds
Iter 478/2746 took 2.72 seconds
Iter 479/2746 took 2.72 seconds
Iter 480/2746 took 2.72 seconds
Iter 481/2746 took 2.79 seconds
Iter 482/2746 took 2.70 seconds
Iter 483/2746 took 2.72 seconds
Iter 484/2746 took 2.75 seconds
