checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m_step_005000000.ckpt at global_step=5013504
Iter 154/1373 took 3.41 seconds
Iter 155/1373 took 3.21 seconds
Iter 156/1373 took 3.11 seconds
Iter 157/1373 took 3.05 seconds
Iter 158/1373 took 2.97 seconds
Iter 159/1373 took 2.95 seconds
Iter 160/1373 took 2.94 seconds
Iter 161/1373 took 2.91 seconds
Iter 162/1373 took 2.93 seconds
Iter 163/1373 took 2.94 seconds
Iter 164/1373 took 2.93 seconds
Iter 165/1373 took 3.02 seconds
Iter 166/1373 took 3.05 seconds
Iter 167/1373 took 3.06 seconds
Iter 168/1373 took 3.03 seconds
Iter 169/1373 took 2.94 seconds
Iter 170/1373 took 2.96 seconds
Iter 171/1373 took 2.94 seconds
Iter 172/1373 took 2.92 seconds
Iter 173/1373 took 2.98 seconds
Iter 174/1373 took 3.07 seconds
Iter 175/1373 took 2.95 seconds
Iter 176/1373 took 2.91 seconds
Iter 177/1373 took 2.98 seconds
Iter 178/1373 took 2.92 seconds
Iter 179/1373 took 2.98 seconds
Iter 180/1373 took 2.96 seconds
Iter 181/1373 took 3.04 seconds
Iter 182/1373 took 2.98 seconds
Iter 183/1373 took 2.94 seconds
Iter 184/1373 took 2.99 seconds
Iter 185/1373 took 2.98 seconds
Iter 186/1373 took 3.15 seconds
Iter 187/1373 took 3.07 seconds
Iter 188/1373 took 3.06 seconds
Iter 189/1373 took 3.13 seconds
Iter 190/1373 took 3.11 seconds
Iter 191/1373 took 3.05 seconds
Iter 192/1373 took 3.01 seconds
Iter 193/1373 took 2.97 seconds
Iter 194/1373 took 2.97 seconds
Iter 195/1373 took 3.35 seconds
Iter 196/1373 took 3.27 seconds
Iter 197/1373 took 3.18 seconds
Iter 198/1373 took 2.97 seconds
Iter 199/1373 took 2.98 seconds
Iter 200/1373 took 2.99 seconds
Iter 201/1373 took 3.00 seconds
Iter 202/1373 took 3.06 seconds
Iter 203/1373 took 3.11 seconds
Iter 204/1373 took 3.03 seconds
Iter 205/1373 took 3.07 seconds
Iter 206/1373 took 3.02 seconds
Iter 207/1373 took 3.00 seconds
Iter 208/1373 took 3.13 seconds
Iter 209/1373 took 2.99 seconds
Iter 210/1373 took 3.01 seconds
Iter 211/1373 took 3.09 seconds
Iter 212/1373 took 2.99 seconds
Iter 213/1373 took 3.06 seconds
Iter 214/1373 took 3.06 seconds
Iter 215/1373 took 3.00 seconds
Iter 216/1373 took 2.98 seconds
Iter 217/1373 took 2.98 seconds
Iter 218/1373 took 2.98 seconds
Iter 219/1373 took 3.05 seconds
Iter 220/1373 took 3.07 seconds
Iter 221/1373 took 3.09 seconds
Iter 222/1373 took 3.19 seconds
Iter 223/1373 took 3.11 seconds
Iter 224/1373 took 3.05 seconds
Iter 225/1373 took 3.15 seconds
Iter 226/1373 took 3.09 seconds
Iter 227/1373 took 3.06 seconds
Iter 228/1373 took 3.04 seconds
Iter 229/1373 took 3.16 seconds
Iter 230/1373 took 3.17 seconds
Iter 231/1373 took 3.13 seconds
Iter 232/1373 took 3.24 seconds
Iter 233/1373 took 3.11 seconds
Iter 234/1373 took 3.11 seconds
Iter 235/1373 took 3.13 seconds
Iter 236/1373 took 3.10 seconds
Iter 237/1373 took 3.07 seconds
Iter 238/1373 took 3.08 seconds
Iter 239/1373 took 3.01 seconds
Iter 240/1373 took 3.04 seconds
Iter 241/1373 took 3.01 seconds
Iter 242/1373 took 3.11 seconds
Iter 243/1373 took 2.99 seconds
Iter 244/1373 took 2.99 seconds
Iter 245/1373 took 3.13 seconds
Iter 246/1373 took 3.14 seconds
Iter 247/1373 took 3.03 seconds
Iter 248/1373 took 3.03 seconds
Iter 249/1373 took 3.13 seconds
Iter 250/1373 took 3.01 seconds
Iter 251/1373 took 3.06 seconds
Iter 252/1373 took 3.17 seconds
Iter 253/1373 took 3.22 seconds
Iter 254/1373 took 3.07 seconds
Iter 255/1373 took 3.02 seconds
Iter 256/1373 took 2.92 seconds
Iter 257/1373 took 2.94 seconds
Iter 258/1373 took 2.97 seconds
Iter 259/1373 took 2.95 seconds
Iter 260/1373 took 3.00 seconds
Iter 261/1373 took 3.00 seconds
