Iter 215/1831 took 2.66 seconds
Iter 216/1831 took 2.70 seconds
Iter 217/1831 took 2.69 seconds
Iter 218/1831 took 2.72 seconds
Iter 219/1831 took 2.68 seconds
Iter 220/1831 took 2.64 seconds
Iter 221/1831 took 2.65 seconds
Iter 222/1831 took 2.70 seconds
Iter 223/1831 took 2.73 seconds
Iter 224/1831 took 2.77 seconds
Iter 225/1831 took 2.71 seconds
Iter 226/1831 took 2.92 seconds
Iter 227/1831 took 2.74 seconds
Iter 228/1831 took 2.92 seconds
Iter 229/1831 took 2.75 seconds
Iter 230/1831 took 2.72 seconds
Iter 231/1831 took 2.76 seconds
Iter 232/1831 took 2.72 seconds
Iter 233/1831 took 2.76 seconds
Iter 234/1831 took 2.78 seconds
Iter 235/1831 took 2.69 seconds
Iter 236/1831 took 2.84 seconds
Iter 237/1831 took 2.82 seconds
Iter 238/1831 took 2.83 seconds
Iter 239/1831 took 2.75 seconds
Iter 240/1831 took 2.87 seconds
Iter 241/1831 took 2.75 seconds
Iter 242/1831 took 2.80 seconds
Iter 243/1831 took 2.69 seconds
Iter 244/1831 took 2.73 seconds
Iter 245/1831 took 2.84 seconds
Iter 246/1831 took 2.76 seconds
Iter 247/1831 took 2.84 seconds
Iter 248/1831 took 2.83 seconds
Iter 249/1831 took 2.69 seconds
Iter 250/1831 took 2.71 seconds
Iter 251/1831 took 2.76 seconds
Iter 252/1831 took 2.79 seconds
Iter 253/1831 took 2.80 seconds
Iter 254/1831 took 2.71 seconds
Iter 255/1831 took 2.78 seconds
Iter 256/1831 took 2.73 seconds
Iter 257/1831 took 2.70 seconds
Iter 258/1831 took 2.69 seconds
Iter 259/1831 took 2.74 seconds
Iter 260/1831 took 2.69 seconds
Iter 261/1831 took 2.67 seconds
Iter 262/1831 took 2.72 seconds
Iter 263/1831 took 2.71 seconds
Iter 264/1831 took 2.69 seconds
Iter 265/1831 took 2.70 seconds
Iter 266/1831 took 2.72 seconds
Iter 267/1831 took 2.79 seconds
Iter 268/1831 took 2.66 seconds
Iter 269/1831 took 2.67 seconds
Iter 270/1831 took 2.74 seconds
Iter 271/1831 took 2.70 seconds
Iter 272/1831 took 2.75 seconds
Iter 273/1831 took 2.74 seconds
Iter 274/1831 took 2.80 seconds
Iter 275/1831 took 2.78 seconds
Iter 276/1831 took 2.78 seconds
Iter 277/1831 took 2.74 seconds
Iter 278/1831 took 2.71 seconds
Iter 279/1831 took 2.91 seconds
Iter 280/1831 took 2.89 seconds
Iter 281/1831 took 2.74 seconds
Iter 282/1831 took 2.69 seconds
Iter 283/1831 took 2.70 seconds
Iter 284/1831 took 2.79 seconds
Iter 285/1831 took 2.67 seconds
Iter 286/1831 took 2.81 seconds
Iter 287/1831 took 2.82 seconds
Iter 288/1831 took 2.75 seconds
Iter 289/1831 took 2.79 seconds
Iter 290/1831 took 2.80 seconds
Iter 291/1831 took 2.80 seconds
Iter 292/1831 took 2.84 seconds
Iter 293/1831 took 2.80 seconds
Iter 294/1831 took 2.79 seconds
Iter 295/1831 took 2.67 seconds
Iter 296/1831 took 2.64 seconds
Iter 297/1831 took 2.66 seconds
Iter 298/1831 took 2.67 seconds
Iter 299/1831 took 2.67 seconds
Iter 300/1831 took 2.70 seconds
Iter 301/1831 took 2.71 seconds
Iter 302/1831 took 2.74 seconds
Iter 303/1831 took 2.71 seconds
Iter 304/1831 took 2.68 seconds
Iter 305/1831 took 2.71 seconds
Iter 306/1831 took 2.72 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m_step_010000000.ckpt at global_step=10027008
Iter 307/1831 took 2.77 seconds
Iter 308/1831 took 2.70 seconds
Iter 309/1831 took 2.67 seconds
Iter 310/1831 took 2.72 seconds
Iter 311/1831 took 2.79 seconds
Iter 312/1831 took 2.74 seconds
Iter 313/1831 took 2.71 seconds
Iter 314/1831 took 2.69 seconds
Iter 315/1831 took 2.70 seconds
Iter 316/1831 took 2.68 seconds
Iter 317/1831 took 2.68 seconds
Iter 318/1831 took 2.65 seconds
Iter 319/1831 took 2.63 seconds
Iter 320/1831 took 2.66 seconds
Iter 321/1831 took 2.68 seconds
Iter 322/1831 took 2.67 seconds
Iter 323/1831 took 2.67 seconds
Iter 324/1831 took 2.70 seconds
Iter 325/1831 took 2.73 seconds
Iter 326/1831 took 2.66 seconds
Iter 327/1831 took 2.73 seconds
Iter 328/1831 took 2.67 seconds
Iter 329/1831 took 2.64 seconds
Iter 330/1831 took 2.66 seconds
Iter 331/1831 took 2.73 seconds
Iter 332/1831 took 2.77 seconds
Iter 333/1831 took 2.67 seconds
Iter 334/1831 took 2.65 seconds
Iter 335/1831 took 2.72 seconds
Iter 336/1831 took 2.69 seconds
Iter 337/1831 took 2.74 seconds
Iter 338/1831 took 2.69 seconds
Iter 339/1831 took 2.68 seconds
Iter 340/1831 took 2.71 seconds
Iter 341/1831 took 2.70 seconds
Iter 342/1831 took 2.71 seconds
Iter 343/1831 took 2.66 seconds
Iter 344/1831 took 2.59 seconds
Iter 345/1831 took 2.68 seconds
Iter 346/1831 took 2.66 seconds
Iter 347/1831 took 2.63 seconds
Iter 348/1831 took 2.58 seconds
Iter 349/1831 took 2.62 seconds
Iter 350/1831 took 2.60 seconds
Iter 351/1831 took 2.67 seconds
Iter 352/1831 took 2.70 seconds
Iter 353/1831 took 2.66 seconds
Iter 354/1831 took 2.64 seconds
Iter 355/1831 took 2.59 seconds
Iter 356/1831 took 2.63 seconds
Iter 357/1831 took 2.70 seconds
Iter 358/1831 took 2.69 seconds
Iter 359/1831 took 2.58 seconds
Iter 360/1831 took 2.56 seconds
Iter 361/1831 took 2.55 seconds
Iter 362/1831 took 2.59 seconds
Iter 363/1831 took 2.59 seconds
Iter 364/1831 took 2.62 seconds
Iter 365/1831 took 2.62 seconds
Iter 366/1831 took 2.62 seconds
Iter 367/1831 took 2.66 seconds
Iter 368/1831 took 2.69 seconds
Iter 369/1831 took 2.67 seconds
Iter 370/1831 took 2.66 seconds
Iter 371/1831 took 2.65 seconds
Iter 372/1831 took 2.64 seconds
Iter 373/1831 took 2.65 seconds
Iter 374/1831 took 2.66 seconds
Iter 375/1831 took 2.66 seconds
Iter 376/1831 took 2.63 seconds
Iter 377/1831 took 2.65 seconds
Iter 378/1831 took 2.70 seconds
Iter 379/1831 took 2.68 seconds
Iter 380/1831 took 2.70 seconds
Iter 381/1831 took 2.70 seconds
Iter 382/1831 took 2.68 seconds
Iter 383/1831 took 2.66 seconds
Iter 384/1831 took 2.68 seconds
Iter 385/1831 took 2.68 seconds
Iter 386/1831 took 2.68 seconds
Iter 387/1831 took 2.62 seconds
Iter 388/1831 took 2.64 seconds
Iter 389/1831 took 2.63 seconds
Iter 390/1831 took 2.70 seconds
Iter 391/1831 took 2.69 seconds
Iter 392/1831 took 2.72 seconds
Iter 393/1831 took 2.80 seconds
Iter 394/1831 took 2.76 seconds
Iter 395/1831 took 2.82 seconds
Iter 396/1831 took 2.88 seconds
Iter 397/1831 took 2.85 seconds
Iter 398/1831 took 2.91 seconds
Iter 399/1831 took 2.66 seconds
Iter 400/1831 took 2.73 seconds
Iter 401/1831 took 2.74 seconds
Iter 402/1831 took 2.89 seconds
Iter 403/1831 took 2.70 seconds
Iter 404/1831 took 2.81 seconds
Iter 405/1831 took 2.90 seconds
Iter 406/1831 took 2.68 seconds
Iter 407/1831 took 2.81 seconds
Iter 408/1831 took 2.89 seconds
Iter 409/1831 took 2.70 seconds
Iter 410/1831 took 2.71 seconds
Iter 411/1831 took 2.78 seconds
Iter 412/1831 took 2.73 seconds
Iter 413/1831 took 2.71 seconds
Iter 414/1831 took 2.73 seconds
Iter 415/1831 took 2.66 seconds
Iter 416/1831 took 2.74 seconds
Iter 417/1831 took 2.78 seconds
Iter 418/1831 took 2.69 seconds
Iter 419/1831 took 2.76 seconds
Iter 420/1831 took 2.76 seconds
Iter 421/1831 took 2.76 seconds
Iter 422/1831 took 2.74 seconds
Iter 423/1831 took 2.75 seconds
Iter 424/1831 took 2.72 seconds
Iter 425/1831 took 2.84 seconds
Iter 426/1831 took 2.83 seconds
Iter 427/1831 took 2.70 seconds
Iter 428/1831 took 2.60 seconds
Iter 429/1831 took 2.63 seconds
Iter 430/1831 took 2.60 seconds
Iter 431/1831 took 2.59 seconds
Iter 432/1831 took 2.64 seconds
Iter 433/1831 took 2.70 seconds
Iter 434/1831 took 2.73 seconds
Iter 435/1831 took 2.71 seconds
Iter 436/1831 took 2.71 seconds
Iter 437/1831 took 2.76 seconds
Iter 438/1831 took 2.71 seconds
Iter 439/1831 took 2.69 seconds
Iter 440/1831 took 2.84 seconds
Iter 441/1831 took 2.92 seconds
Iter 442/1831 took 2.95 seconds
Iter 443/1831 took 2.95 seconds
Iter 444/1831 took 2.94 seconds
Iter 445/1831 took 2.95 seconds
Iter 446/1831 took 2.97 seconds
Iter 447/1831 took 2.89 seconds
Iter 448/1831 took 2.87 seconds
Iter 449/1831 took 2.87 seconds
Iter 450/1831 took 2.84 seconds
Iter 451/1831 took 2.87 seconds
Iter 452/1831 took 2.79 seconds
Iter 453/1831 took 2.73 seconds
Iter 454/1831 took 2.76 seconds
Iter 455/1831 took 2.68 seconds
